,#ID_Hannah_thesis,NROH,SROH,Species,Coll_number,Coll_year,DNA_input,Section,Material,Reads_hits,Depth,Date,Country,Region,Province,District,Location,Habitat,Altitude,Herb_nbr,S_deg,S_min,S_sec,E_deg,E_min,E_sec,Latitude,Longitude
25,153b,77,395.689,B.kaniensis,590,1981,,Diploclinium,Herbarium,7067576,4.77908,1982,PNG,Highlands,Enga,Lagaip-Porgera,Kandep-Laiagam,Climbing terrestrial or epiphyte,2900,E00045450,,,,,,,,
26,156,319,481.864,B.Petermannia,16712,1963,53,Petermannia,Herbarium,591200,0.771549,1963,PNG,Momase,Morobe ,Lae,Busu river,Forest shade,60,E00299373,,,,,,,,
27,157,1553,2907.872,B.Petermannia,16712,1963,110.7,Petermannia,Herbarium,3710438,2.05786,1963,PNG,Momase,Morobe ,Lae,Busu river,Forest shade,60,E00299373,,,,,,,,
28,159,328,573.185,B.mimikaensis,199,2005,110.7,Symbegonia,Herbarium,1746900,0.923924,2005,Indonesia,Western New Guinea (Irian Jaya),Central Papua,Mimika Regency,Utekini Valley,,1500,E00649080,,,,,,,,
29,159a,502,1108.253,B.mimikaensis,199,2005,,Symbegonia,Herbarium,4697708,2.9835,2005,Indonesia,Western New Guinea (Irian Jaya),Central Papua,Mimika Regency,Utekini Valley,,1500,E00649080,,,,,,,,
30,16,1206,2682.632,B.cyrtandroides,4287,2004,47.75,Symbegonia,Herbarium,4671387,2.96649,2004,Indonesia,Western New Guinea (Irian Jaya),Highland Papua,Tolikara Regency,Goyage,,2132,LYJB014467,3,43,0,138,25,0,-3.71666666666667,138.416666666667
31,161,1,1.079,B.kaniensis,12458,1998,6.9,Diploclinium,Herbarium,290163,0.864264,1998,PNG,Highlands,Eastern Highlands,,Crater Mountain Wildlife,Montane forest,1675,E00656306,6,43,0,145,0,0,-6.71666666666667,145
32,16a,571,928.262,B.cyrtandroides,4287,2004,,Symbegonia,Herbarium,1454255,1.6221,2004,Indonesia,Western New Guinea (Irian Jaya),Highland Papua,Tolikara Regency,Goyage,,2132,LYJB014467,3,43,0,138,25,0,-3.71666666666667,138.416666666667
33,17,709,1340.331,B.cyrtandroides,4294,2004,18.3,Symbegonia,Herbarium,2861752,2.12186,2004,Indonesia,Western New Guinea (Irian Jaya),Highland Papua,Tolikara Regency,Dombenega,Montane forest,2350,LYJB014461,3,43,0,138,22,0,-3.71666666666667,138.366666666667
34,172,1563,4086.925,B.Blanc,s.n.,,110.7,Petermannia,Silica,3187831,1.68807,,,,,,,,,20170997,,,,,,,,
35,174,2252,4823.155,B.ArgentEtAl248,248,,110.7,Petermannia,Silica,2219066,1.80582,1931,Indonesia,Western New Guinea (Irian Jaya),West Papua (Irian Jaya),Waigeo,,,,20090938,,,,,,,,
36,178,567,1305.41,B.bipinnatifida,21410,2008,110.7,Petermannia,Silica,6828101,3.45423,2008,PNG,,,,,,,,,,,,,,,
37,178a,602,1262.704,B.bipinnatifida,21410,2008,,Petermannia,Silica,4385654,4.33156,2008,PNG,,,,,,,,,,,,,,,
38,179,789,1582.565,B.CKYang1598,1598,2008,53.75,Petermannia,Silica,3470874,1.77135,2008,PNG,,,,,,,,,,,,,,,
39,18,3020,7371.527,B.stilandra,4477,2006,110.7,Petermannia,Herbarium,6830826,4.34897,2006,Indonesia,Western New Guinea (Irian Jaya),Highland Papua,Tolikara Regency,Paba,,1600,LYJB014463,,,,,,,,
40,180,30,35.825,B.maguniana,LAE90444,2017,39.25,Oligandrae,Herbarium,156802,0.198541,2017,PNG,Momase,West Sepik (Sandaun),Telefomin,Telefomin,,1750,,5,6,15,141,39,29,,
41,187,262,411.383,B.cyrtandroides,4253,2002,12.1,Symbegonia,Herbarium,475437,0.332721,2002,,,,,,,,,,,,,,,,
42,18a,1973,4171.638,B.stilandra,4477,2006,,Petermannia,Herbarium,2660109,1.92375,2006,Indonesia,Western New Guinea (Irian Jaya),Highland Papua,Tolikara Regency,Paba,,1600,LYJB014463,,,,,,,,
43,19,927,2118.528,B.cyrtandroides,4638,2008,67.5,Symbegonia,Herbarium,3822294,2.0499,2008,,,,,,,,LYJB014466,,,,,,,,
44,195,243,424.935,B.Petermannia,ELAE1,2018,110.7,Petermannia,Silica,1730178,0.807664,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Telefomin,Montane forest,1608,,,,,,,,-5.112231,141.648222
45,196,317,652.928,B.Petermannia,ELAE4,2018,110.7,Petermannia,Silica,2264870,1.15102,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Telefomin,Montane forest,1684,,,,,,,,-5.109984,141.654756
46,198,153,235.759,B.Oligandrae,ELAE7,2018,110.7,Oligandrae,Silica,2033874,1.3015,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Telefomin,Montane forest,1775,,,,,,,,-5.101896,141.657218
47,199,106,139.761,B.vinkii,ELAE9,2018,110.7,Symbegonia,Silica,283119,0.142604,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Telefomin,Montane forest,1822,,,,,,,,-5.099509,141.656353
48,1a,5,7.858,B.bipinnatifida,90414,2017,,Petermannia,Herbarium,60528,0.0376603,2017,,,,,,,,1a,,,,,,,,
49,200,996,1874.518,B.oligandra,ELAE10,2018,110.7,Oligandrae,Silica,1056761,0.538202,2018,PNG,Momase,West Sepik (Sandaun),Telefomin,Telefomin,Montane forest,1822,,,,,,,,-5.099509,141.656353
