kew_id,taxon_name,taxon_name_binom,authors,GS_2C_pg,GS_1C_pg,GS_2C_Mbp,GS_1C_Mbp,from_BI_material,data_source,ID
776573-1,Populus alba L.,Populus alba,L.,0.84,0.42,819.66,409.83,n,Šmarda et al. 2019,2
776790-1,Populus nigra L.,Populus nigra,L.,0.88,0.44,860.15,430.08,n,Šmarda et al. 2019,2
302387-2,Populus tremula L.,Populus tremula,L.,0.82,0.41,803.88,401.94,n,Šmarda et al. 2019,2
323270-2,Portulaca oleracea L.,Portulaca oleracea,L.,2.5,1.25,2449.68,1224.84,n,Šmarda et al. 2019,2
603113-1,Potamogeton alpinus Balb.,Potamogeton alpinus,Balb.,1.46,0.73,1428.55,714.27,n,Šmarda et al. 2019,2
603133-1,Potamogeton berchtoldii Fieber,Potamogeton berchtoldii,Fieber,0.66,0.33,648.96,324.48,n,Šmarda et al. 2019,2
603156-1,Potamogeton coloratus Hornem.,Potamogeton coloratus,Hornem.,0.77,0.38,748.21,374.1,n,Šmarda et al. 2019,2
323116-2,Potamogeton crispus L.,Potamogeton crispus,L.,1.31,0.65,1277.91,638.96,n,Šmarda et al. 2019,2
323120-2,Potamogeton gramineus L.,Potamogeton gramineus,L.,1.35,0.67,1317.57,658.78,n,Šmarda et al. 2019,2
208858-2,Potamogeton lucens L.,Potamogeton lucens,L.,1.42,0.71,1386.74,693.37,n,Šmarda et al. 2019,2
208872-2,Potamogeton natans L.,Potamogeton natans,L.,1.53,0.77,1497.03,748.51,n,Šmarda et al. 2019,2
603330-1,Potamogeton nodosus Poir.,Potamogeton nodosus,Poir.,1.51,0.76,1480.68,740.34,n,Šmarda et al. 2019,2
208899-2,Potamogeton perfoliatus L.,Potamogeton perfoliatus,L.,1.41,0.71,1379.8,689.9,n,Šmarda et al. 2019,2
603369-1,Potamogeton polygonifolius Pourr.,Potamogeton polygonifolius,Pourr.,0.73,0.36,711.73,355.86,n,Šmarda et al. 2019,2
603374-1,Potamogeton praelongus Wulfen,Potamogeton praelongus,Wulfen,1.51,0.76,1481.65,740.83,n,Šmarda et al. 2019,2
208919-2,Potamogeton pusillus L.,Potamogeton pusillus,L.,0.63,0.31,614.74,307.37,n,Šmarda et al. 2019,2
727633-1,Potentilla anglica Laichard.,Potentilla anglica,Laichard.,2.01,1,1962.79,981.39,n,Šmarda et al. 2019,2
